"Source:","C:\Users\David\Desktop\fbaord\F_Board_V1.1\F_Board_V1.1.kicad_sch"
"Date:","30.04.2024 21:31:37"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","24"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","2","C1, C2","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","",""
"2","3","C3, C6, C7","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","",""
"3","2","C4, C5","22uF/10V","Device:C","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","~","","","","",""
"4","1","D1","RX_LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","",""
"5","1","D2","TX_LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","",""
"6","1","D3","PWR_LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","",""
"7","1","J1","PRG","Connector:Conn_01x06_Socket","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","","","","",""
"8","1","J2","MUSBRM1C130","MUSBRM1C130:MUSBRM1C130","files:AMPHENOL_MUSBRM1C130","","","Amphenol","9.05 mm","F","Manufacturer Recommendations"
"9","5","R1, R2, R3, R4, R5","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","",""
"10","2","R6, R7","5.1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","",""
"11","1","SW1","FLASH","Switch:SW_Push","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","",""
"12","1","SW2","RESET","Switch:SW_Push","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx","~","","","","",""
"13","1","U1","CH340G","Interface_USB:CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","","","","",""
"14","1","U2","LDI1117-3.3H","Regulator_Linear:AP1117-33","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf","","","","",""
"15","1","Y1","Crystal","Device:Crystal","Crystal:Crystal_HC49-4H_Vertical","~","","","","",""
